# ANKI Flash Cards - Web Technologies: World Wide Web (Slides 1-10) - CSV Format

Where was the World Wide Web born?;The World Wide Web was born in CERN.

Who created both the idea and implementation of the World Wide Web?;Tim Berners-Lee (TBL) created both the idea and implementation of the World Wide Web.

What was the title of Tim Berners-Lee's original proposal in March 1989?;Information Management: A Proposal

What did Tim Berners-Lee recommend to CERN?;He recommended a hypertext information system to CERN.

What was the name of the first web server created by TBL?;CERN httpd (created December 24, 1990)

What was the name of the first web browser and HTML editor created by TBL?;WorldWideWeb (created December 25, 1990)

What does HTML stand for?;HTML stands for HyperText Markup Language.

What does HTTP stand for?;HTTP stands for HyperText Transfer Protocol.

What does URI stand for and what was it originally called?;URI stands for Universal Resource Identifier. It was originally called UDI (Universal Document Identifier).

What was the first public website and when was it launched?;The first public website was http://info.cern.ch/ launched on August 6, 1991.

What are the three original cornerstones of the Web idea?;1. Identifying resources by global identifiers (URIs), 2. Client-server model, 3. Hypertext markup language (HTML)

What is the World Wide Web according to contemporary architecture?;The World Wide Web is an information space in which the items of interest (referred to as resources) are identified by URIs.

What is a resource in web architecture?;A resource is anything that might be identified by a URI.

What is an information resource?;An information resource is a resource which has the property that all of its essential characteristics can be conveyed in a message.

What is a URI in the context of the Web?;A Uniform Resource Identifier (URI) is a global identifier in the context of the Web.

What is a representation in web architecture?;A representation is data that encodes information about resource state.

What is content negotiation?;Content negotiation is offering multiple representations for a resource and selecting the one that is the most appropriate when a representation must be served.

What is dereferencing a URI?;Dereferencing a URI is using a URI to access the referenced resource.

What are the different forms that accessing a resource through dereferencing may take?;Access may take many forms, including retrieving, adding, or modifying a representation of the resource, and deleting some or all representations of the resource.

What is a web agent?;A web agent is a person or a piece of software acting on the Web on behalf of a person, entity, or process.

What is an example of a web agent?;A web crawler is an example of a web agent.

What is a user agent?;A user agent is one type of Web agent, a piece of software acting on behalf of a person.

What is an example of a user agent?;A web browser is an example of a user agent.

According to the contemporary W3C architecture document, is the client-server model mentioned?;No, the client-server model is not mentioned at all in the W3C architecture text.

When was the first web server CERN httpd created?;December 24, 1990

When was the first web browser WorldWideWeb created?;December 25, 1990

What organization was responsible for the birth of the World Wide Web?;CERN

Who co-authored the WorldWideWeb proposal with Tim Berners-Lee in November 1990?;Robert Cailliau

What was the original name for URI?;UDI (Universal Document Identifier)

What is the URL for Tim Berners-Lee's biography on W3C?;https://www.w3.org/People/Berners-Lee/

What is the URL for the first website restoration project?;https://first-website.web.cern.ch/first-website/

What is the URL for comprehensive web history?;https://thehistoryoftheweb.com/

What is the title of the W3C architecture document from December 2004?;Architecture of the World Wide Web, Volume One

What does TBL stand for?;Tim Berners-Lee

What was the original purpose of the web according to TBL's proposal?;To create a hypertext information system for CERN

How many original cornerstones formed the basis of the Web idea?;Three cornerstones

What type of identifier does the Web use to identify resources?;Global identifiers (URIs)

Can all essential characteristics of an information resource be conveyed in a message?;Yes, all essential characteristics can be conveyed in a message.

What does data that encodes information about resource state represent?;A representation

What is the process of offering multiple representations for a resource called?;Content negotiation

What happens when you use a URI to access a referenced resource?;Dereferencing a URI

Can dereferencing a URI involve deleting representations?;Yes, it can involve deleting some or all representations of the resource.

